category_big_name,category_big_code,category_small_name,category_small_code,category_small_page_count
상의,A001,맨투맨/스웨트셔츠,B001005,462
상의,A001,니트/스웨터,B001006,347
상의,A001,후드 티셔츠,B001004,296
상의,A001,반소매 티셔츠,B001001,716
상의,A001,긴소매 티셔츠,B001010,257
상의,A001,셔츠/블라우스,B001002,297
상의,A001,피케/카라 티셔츠,B001003,107
상의,A001,기타 상의,B001008,86
상의,A001,스포츠 상의,B001013,301
상의,A001,민소매 티셔츠,B001011,75
아우터,A002,나일론/코치 재킷,B002006,94
아우터,A002,트러커 재킷,B002017,40
아우터,A002,스타디움 재킷,B002004,22
아우터,A002,기타 아우터,B002015,118
아우터,A002,블루종/MA-1,B002001,46
아우터,A002,사파리/헌팅 재킷,B002014,14
아우터,A002,슈트/블레이저 재킷,B002003,82
아우터,A002,레더/라이더스 재킷,B002002,37
아우터,A002,아노락 재킷,B002019,33
아우터,A002,숏패딩/숏헤비 아우터,B002012,123
아우터,A002,겨울 싱글 코트,B002007,29
아우터,A002,플리스/뽀글이,B002023,38
아우터,A002,겨울 기타 코트,B002009,17
아우터,A002,겨울 더블 코트,B002024,13
아우터,A002,무스탕/퍼,B002025,17
아우터,A002,롱패딩/롱헤비 아우터,B002013,14
아우터,A002,환절기 코트,B002008,20
아우터,A002,패딩 베스트,B002016,26
아우터,A002,트레이닝 재킷,B002018,34
아우터,A002,카디건,B002020,151
아우터,A002,후드 집업,B002022,71
아우터,A002,베스트,B002021,74
바지,A003,데님 팬츠,B003002,187
바지,A003,트레이닝/조거 팬츠,B003004,295
바지,A003,코튼 팬츠,B003007,141
바지,A003,슈트 팬츠/슬랙스,B003008,110
바지,A003,기타 바지,B003006,160
바지,A003,스포츠 하의,B003011,173
바지,A003,숏 팬츠,B003009,189
바지,A003,점프 슈트/오버올,B003010,14
바지,A003,레깅스,B003005,39
원피스,A020,맥시 원피스,B020008,53
원피스,A020,미니 원피스,B020006,41
원피스,A020,미디 원피스,B020007,62
스커트,A022,미니스커트,B022001,89
스커트,A022,미디스커트,B022002,44
스커트,A022,롱스커트,B022003,44
스니커즈,A018,패션스니커즈화,B018003,47
스니커즈,A018,스포츠 스니커즈,B018001,21
스니커즈,A018,기타 스니커즈,B018004,22
스니커즈,A018,캔버스/단화,B018002,47
신발,A005,로퍼,B005015,32
신발,A005,힐/펌프스,B005012,35
신발,A005,플랫 슈즈,B005017,14
신발,A005,기타 신발,B005006,19
신발,A005,블로퍼,B005019,9
신발,A005,구두,B005014,28
신발,A005,모카신/보트 슈즈,B005016,3
신발,A005,부츠,B005011,68
신발,A005,슬리퍼,B005018,47
신발,A005,샌들,B005004,47
신발,A005,신발 용품,B005005,2
가방,A004,메신저/크로스 백,B004002,116
가방,A004,숄더백,B004003,112
가방,A004,백팩,B004001,78
가방,A004,보스턴/드럼/더플백,B004006,9
가방,A004,토트백,B004015,72
가방,A004,웨이스트 백,B004007,13
가방,A004,에코백,B004014,25
가방,A004,브리프케이스,B004008,5
가방,A004,클러치 백,B004005,7
가방,A004,파우치 백,B004013,37
가방,A004,지갑/머니클립,B004016,58
가방,A004,가방 소품,B004012,10
가방,A004,캐리어,B004009,13
여자 가방,A054,숄더백,B054003,110
여자 가방,A054,크로스백,B054001,105
여자 가방,A054,토트백,B054002,67
여자 가방,A054,백팩,B054006,58
여자 가방,A054,지갑/머니클립,B054008,58
여자 가방,A054,클러치 백,B054004,7
여자 가방,A054,웨이스트 백,B054007,11
여자 가방,A054,파우치 백,B054005,36
여자 가방,A054,가방 소품,B054009,9
스포츠 용품,A017,상의,B017016,301
스포츠 용품,A017,하의,B017020,175
스포츠 용품,A017,아우터,B017018,275
스포츠 용품,A017,상하의세트,B017021,9
스포츠 용품,A017,수영복/비치웨어,B017022,99
스포츠 용품,A017,스포츠잡화,B017026,74
스포츠 용품,A017,스포츠가방,B017025,62
스포츠 용품,A017,기구/용품/장비,B017024,93
스포츠 용품,A017,스포츠신발,B017023,43
스포츠 용품,A017,스포츠모자,B017027,72
스포츠 용품,A017,스커트,B017017,79
스포츠 용품,A017,원피스,B017019,6
스포츠 용품,A017,캠핑용품,B017028,67
스포츠 용품,A017,낚시용품,B017029,13
모자,A007,캡/야구 모자,B007001,232
모자,A007,비니,B007005,59
모자,A007,페도라,B007003,5
모자,A007,기타 모자,B007006,37
모자,A007,버킷/사파리햇,B007004,75
모자,A007,트루퍼,B007007,7
모자,A007,헌팅캡/베레모,B007002,11
양말,A008,양말,B008001,114
양말,A008,스타킹,B008002,4
